S,Pendiente
0,0.035
10,0.035
19.8994949366,0.036
30.5296407493,0.036
40.429135686,0.037
50.3286306226,0.037
59.5481750799,0.038
69.4476700165,0.038
80.0778158292,0.039
89.2973602865,0.039
99.2973602865,0.039
109.2973602865,0.039
119.2973602865,0.04
129.2973602865,0.041
139.2973602865,0.042
149.5929904275,0.042
159.0269715595,0.041
169.0269715595,0.039
179.3226017005,0.038
189.3226017005,0.036
198.7565828326,0.034
208.7565828326,0.031
218.7565828326,0.028
229.0522129736,0.025
239.0522129736,0.022
248.2717574309,0.019
258.9019032436,0.016
268.1214477009,0.012
278.7515935136,0.009
287.9711379709,0.006
298.6012837837,0.003
307.820828241,0.001
318.6374820673,-0.002
328.6374820673,-0.005
338.0714631994,-0.008
347.9203210012,-0.011
358.2159511422,-0.015
368.064808944,-0.018
378.2628479712,-0.021
387.7496809517,-0.024
398.1899874606,-0.026
398.1899874606,-0.025
408.3880264878,-0.027
417.4434116259,-0.028
427.4434116259,-0.029
437.493287247,-0.03
447.493287247,-0.03
457.5431628681,-0.031
467.5930384893,-0.033
477.6429141104,-0.034
487.8409531376,-0.036
498.0389921648,-0.037
507.5258251453,-0.038
517.7238641725,-0.038
527.210697153,-0.039
537.6510036619,-0.04
547.8490426891,-0.04
557.3358756696,-0.041
567.5339146967,-0.041
577.9742212057,-0.04
587.4610541862,-0.039
597.6590932133,-0.038
607.1459261938,-0.036
617.5862327028,-0.034
627.7842717299,-0.031
637.0038161872,-0.028
647.4441226961,-0.025
657.6421617233,-0.021
667.1289947038,-0.018
677.5693012127,-0.014
687.7673402399,-0.01
697.2541732204,-0.007
707.6944797294,-0.004
716.9140241866,-0.001
727.3543306956,0.001
737.5523697227,0.003
747.0392027032,0.005
757.4795092122,0.007
767.6775482393,0.008
776.8970926966,0.009
787.3373992055,0.009
797.5354382327,0.009
807.0222712132,0.009
817.2203102404,0.008
827.4183492676,0.007
836.9051822481,0.006
847.1032212753,0.004
857.3012603025,0.002
866.5208047598,-0.001
876.718843787,-0.003
887.1591502959,-0.006
897.209025917,-0.008
906.4285703743,-0.011
916.6266094015,-0.014
926.8246484287,-0.017
937.0226874558,-0.02
947.072563077,-0.023
956.2921075343,-0.025
966.4901465614,-0.028
976.5400221826,-0.03
986.7380612097,-0.031
996.9361002369,-0.032
1006.9859758581,-0.032
1016.0413609962,-0.031
1026.2394000234,-0.031
1036.2892756445,-0.03
1046.4873146717,-0.028
1056.6853536989,-0.026
1066.73522932,-0.024
1076.7851049411,-0.022
1086.9831439683,-0.02
1096.2026884256,-0.017
1106.2525640467,-0.015
1116.3024396678,-0.014
1126.500478695,-0.012
1136.5503543161,-0.011
1146.7483933433,-0.01
1155.8037784815,-0.009
1166.0018175087,-0.008
1176.0516931298,-0.008
1186.249732157,-0.007
1196.2996077781,-0.005
1206.4976468053,-0.004
1216.5475224264,-0.002
1225.7670668837,-0.001
1235.9651059109,-0.001
1246.014981532,-0.002
1256.0648571531,-0.004
1266.2628961803,-0.006
1276.4609352075,-0.008
1285.5163203456,-0.011
1295.7143593728,-0.013
1305.9123984,-0.015
1316.1104374272,-0.017
1326.3084764544,-0.018
1335.5280209117,-0.02
1345.7260599388,-0.022
1355.77593556,-0.023
1365.9739745871,-0.024
1375.1935190444,-0.024
1385.6338255533,-0.023
1395.8318645805,-0.022
1406.0299036077,-0.021
1415.249448065,-0.02
1425.4474870922,-0.019
1435.6455261194,-0.018
1445.8435651466,-0.017
1456.0416041738,-0.015
1465.261148631,-0.014
1475.4591876582,-0.012
1485.5090632794,-0.01
1495.7071023065,-0.009
1505.7569779277,-0.008
1514.976522385,-0.007
1525.0263980061,-0.007
1535.0762736272,-0.008
1545.1261492483,-0.008
1555.1760248694,-0.009
1565.1760248694,-0.009
1575.2259004906,-0.009
1585.2259004906,-0.009
1595.2757761117,-0.009
1605.3256517328,-0.008
1615.3755273539,-0.007
1625.3755273539,-0.005
1635.425402975,-0.003
1644.4807881132,-0.001
1654.5306637343,0
1664.5805393554,0.001
1674.5805393554,0.002
1684.6304149765,0.002
1694.6802905977,0.003
1704.8783296248,0.003
1715.076368652,0.002
1724.5632016325,0.001
1735.0035081414,0
1744.8523659432,-0.001
1754.701223745,-0.002
1764.5500815468,-0.002
1774.5500815468,-0.003
1784.5500815468,-0.003
1794.5500815468,-0.003
1804.4495764834,-0.002
1814.3490714201,-0.002
1824.9792172328,-0.001
1834.1987616901,0
1844.1987616901,0.001
1854.4943918311,0.002
1864.7900219721,0.003
1873.7342938821,0.003
1884.029924023,0.004
1894.325554164,0.005
1904.1744119658,0.006
1914.4700421068,0.007
1924.4700421068,0.008
1933.9040232389,0.01
1943.9040232389,0.012
1953.9040232389,0.014
1963.9040232389,0.016
1973.8035181755,0.018
1983.7030131121,0.02
1994.3331589248,0.021
2004.3331589248,0.022
2014.3331589248,0.023
2023.7671400569,0.023
2034.0627701979,0.022
2043.9116279997,0.022
2054.2072581407,0.021
2063.6940911212,0.021
2073.542948923,0.021
2083.7409879501,0.02
2094.1812944591,0.02
2104.3793334862,0.019
2113.5988779435,0.018
2123.6487535647,0.017
2133.6487535647,0.016
2143.6487535647,0.014
2153.6487535647,0.013
2163.6487535647,0.011
2173.6986291858,0.01
2183.6986291858,0.009
2193.6986291858,0.008
2203.7485048069,0.006
2213.7485048069,0.005
2223.798380428,0.004
2233.8482560491,0.003
2243.8482560491,0.003
2253.8482560491,0.003
2263.8981316703,0.003
2273.8981316703,0.003
2282.8981316703,0.003
2292.8981316703,0.003
2302.9480072914,0.002
2312.9480072914,0.001
2322.9480072914,0.001
2332.9480072914,0.001
2342.9480072914,0.002
2353.1460463186,0.003
2363.1959219397,0.005
2373.2457975608,0.008
2383.443836588,0.01
2392.6633810453,0.013
2403.1036875542,0.015
2413.3017265814,0.017
2422.7885595619,0.019
2433.5588891762,0.02
2443.0457221567,0.021
2452.8945799585,0.022
2463.1902100994,0.023
2473.0390679012,0.024
2482.4730490333,0.026
2492.7686791743,0.028
2503.0643093153,0.03
2512.4982904473,0.033
2522.4982904473,0.035
2533.3149442737,0.038
2542.7489254058,0.041
2553.0445555468,0.043
2562.4785366788,0.046
2572.7741668198,0.048
2582.6230246216,0.049
2592.4718824234,0.051
2602.3207402252,0.052
2612.7610467341,0.052
2622.2478797146,0.052
2632.6881862235,0.052
2641.9077306808,0.052
2652.105769708,0.051
2662.3038087352,0.051
2672.3536843563,0.05
2682.5517233835,0.049
2692.6015990046,0.047
2702.6514746257,0.046
2711.7068597639,0.044
2721.756735385,0.043
2731.8066110061,0.041
2741.8564866272,0.04
2751.9063622484,0.038
2761.9562378695,0.037
2772.0061134906,0.036
2782.0061134906,0.035
2792.2041525178,0.035
2802.2540281389,0.035
2812.2540281389,0.035
2822.30390376,0.035
2831.5234482173,0.036
2841.5234482173,0.036
2851.5733238384,0.037
2861.6231994596,0.038
2871.6730750807,0.039
2881.7229507018,0.041
2891.7728263229,0.042
2901.822701944,0.044
2911.8725775652,0.046
2921.9224531863,0.048
2931.9723288074,0.05
2942.0222044285,0.052
2952.0222044285,0.053
2961.2417488858,0.055
2971.2916245069,0.056
2981.3415001281,0.058
2991.3913757492,0.059
3001.4412513703,0.06
3011.4911269914,0.061
3021.5410026125,0.062
3031.5908782337,0.062
3041.6407538548,0.063
3051.6906294759,0.063
3061.740505097,0.063
3071.740505097,0.063
3080.7958902352,0.064
3090.9939292624,0.064
3100.9939292624,0.064
3111.0438048835,0.064
3121.0936805046,0.065
3131.2917195318,0.065
3141.3415951529,0.065
3151.391470774,0.065
3161.4413463951,0.065
3170.6608908524,0.064
3180.7107664736,0.064
3190.9088055007,0.063
3201.1068445279,0.063
3211.3048835551,0.062
3220.5244280124,0.061
3230.7224670396,0.061
3240.9205060668,0.06
3251.3608125757,0.06
3260.580357033,0.059
3271.0206635419,0.059
3280.5074965224,0.058
3291.2778261367,0.057
3300.7646591172,0.056
3310.2514920977,0.056
3321.0218217119,0.056
3330.5086546924,0.056
3340.3575124942,0.056
3351.1278421085,0.056
3360.9766999103,0.055
3370.8255577121,0.055
3380.6744155139,0.054
3390.9700456549,0.054
3399.9143175649,0.054
3410.2099477059,0.054
3420.5055778469,0.054
3430.3544356487,0.055
3440.6500657896,0.055
3450.0840469217,0.055
3460.3796770627,0.055
3470.6753072037,0.054
3479.6195791137,0.054
3489.9152092547,0.053
3500.2108393957,0.053
3510.5064695366,0.052
3520.3553273384,0.052
3529.7893084705,0.053
3540.0849386115,0.053
3549.9337964133,0.054
3560.2294265543,0.054
3570.5250566952,0.055
3579.4693286052,0.055
3589.7649587462,0.055
3600.0605888872,0.055
3609.909446689,0.055
3620.20507683,0.055
3629.6390579621,0.055
3639.934688103,0.055
3649.3686692351,0.056
3659.6642993761,0.056
3669.5131571779,0.057
3679.8087873189,0.058
3689.6576451207,0.059
3699.9532752617,0.06
3709.3872563937,0.062
3719.6828865347,0.063
3729.5317443365,0.064
3739.8273744775,0.065
3750.1230046185,0.066
3759.0672765285,0.067
3769.3629066695,0.069
3779.2117644713,0.07
3789.5073946122,0.071
3799.5073946122,0.071
3809.356252414,0.071
3819.651882555,0.07
3829.947512696,0.068
3838.891784606,0.066
3849.187414747,0.064
3859.483044888,0.061
3869.3319026898,0.059
3879.6275328308,0.057
3889.0615139628,0.054
3898.9103717646,0.052
3909.2060019056,0.049
3919.5016320466,0.047
3929.7972621876,0.045
3938.7415340976,0.043
3949.0371642386,0.041
3958.8860220404,0.039
3969.1816521814,0.038
3979.1816521814,0.036
3989.0305099831,0.034
3999.3261401241,0.032
4009.1749979259,0.03
4019.4706280669,0.028
4028.904609199,0.026
4039.20023934,0.024
4049.495869481,0.023
4058.929850613,0.021
4068.7787084148,0.019
4079.0743385558,0.016
4088.9231963576,0.013
4099.2188264986,0.009
4109.5144566396,0.006
4118.4587285496,0.003
4129.275382376,0
4139.1242401777,-0.002
4148.5582213098,-0.003
4158.4070791116,-0.004
4168.7027092526,-0.005
4178.5515670544,-0.005
4188.4004248562,-0.006
4198.249282658,-0.007
4209.0196122722,-0.009
4218.868470074,-0.01
4228.3553030545,-0.012
4238.7956095635,-0.013
4248.282442544,-0.015
4259.0527721582,-0.017
4268.2723166155,-0.019
4278.7126231244,-0.022
4288.9106621516,-0.024
4298.1302066089,-0.026
4308.3282456361,-0.027
4318.3781212572,-0.029
4328.4279968783,-0.03
4338.4778724995,-0.032
4348.5277481206,-0.035
4358.5277481206,-0.037
4368.5776237417,-0.04
4378.5776237417,-0.042
4388.5776237417,-0.044
4398.5776237417,-0.046
4408.6274993628,-0.048
4418.6773749839,-0.049
4427.7327601221,-0.05
4437.9307991493,-0.051
4447.9806747704,-0.052
4458.1787137976,-0.053
4468.2285894187,-0.054
4478.4266284459,-0.055
4487.6461729032,-0.056
4497.8442119304,-0.058
4508.0422509575,-0.06
4518.0921265787,-0.063
4528.1420021998,-0.066
4538.340041227,-0.069
4548.3899168481,-0.072
4557.4453019862,-0.074
4567.4453019862,-0.076
4577.4951776073,-0.078
4587.5450532285,-0.079
4597.7430922557,-0.079
4607.7929678768,-0.079
4617.991006904,-0.08
4627.8398647058,-0.081
4637.3266976863,-0.082
4647.1755554881,-0.084
4657.471185629,-0.085
4667.76681577,-0.085
4677.2007969021,-0.085
4688.0174507285,-0.085
4698.0174507285,-0.085
4707.2369951858,-0.084
